bill 已知	账单法案
west 未知	翻译出错，请更新
wherever 未知	翻译出错，请更新
whichever 未知	翻译出错，请更新
whiskers 未知	翻译出错，请更新
whispering 未知	翻译出错，请更新
whit 未知	翻译出错，请更新
whither 未知	翻译出错，请更新
whod 未知	翻译出错，请更新
wickedness 未知	翻译出错，请更新
widest 未知	翻译出错，请更新
wilderness 未知	翻译出错，请更新
wildest 未知	翻译出错，请更新
wildly 未知	翻译出错，请更新
willingness 未知	翻译出错，请更新
wincing 未知	翻译出错，请更新
windbags 未知	翻译出错，请更新
windfall 未知	翻译出错，请更新
wisely 未知	翻译出错，请更新
wistfully 未知	翻译出错，请更新
withdrawing 未知	翻译出错，请更新
witness 未知	翻译出错，请更新
wits 未知	翻译出错，请更新
witty 未知	翻译出错，请更新
woke 未知	翻译出错，请更新
womanly 未知	翻译出错，请更新
womens 未知	翻译出错，请更新
woo 未知	翻译出错，请更新
wooden 未知	翻译出错，请更新
woodmans 未知	翻译出错，请更新
woods 未知	翻译出错，请更新
worded 未知	翻译出错，请更新
worldly 未知	翻译出错，请更新
wote 未知	翻译出错，请更新
wotes 未知	翻译出错，请更新
wretch 未知	翻译出错，请更新
writingtable 未知	翻译出错，请更新
wrongly 未知	翻译出错，请更新
yachting 未知	翻译出错，请更新
yard 未知	翻译出错，请更新
yearly 未知	翻译出错，请更新
yielded 未知	翻译出错，请更新
zealous 未知	翻译出错，请更新
AUNT 未知	翻译出错，请更新
Abingdon 未知	翻译出错，请更新
Act 未知	翻译出错，请更新
Administration 未知	翻译出错，请更新
Admirably 未知	翻译出错，请更新
Admiral 未知	翻译出错，请更新
Africa 未知	翻译出错，请更新
Agree 未知	翻译出错，请更新
Akinetos 未知	翻译出错，请更新
Akinetoses 未知	翻译出错，请更新
Albany 未知	翻译出错，请更新
Alderman 未知	翻译出错，请更新
Alone 未知	翻译出错，请更新
Alps 未知	翻译出错，请更新
Although 未知	翻译出错，请更新
Altogether 未知	翻译出错，请更新
Always 未知	翻译出错，请更新
Amantium 未知	翻译出错，请更新
Amen 未知	翻译出错，请更新
Americans 未知	翻译出错，请更新
Anyone 未知	翻译出错，请更新
Anyways 未知	翻译出错，请更新
Apollo 未知	翻译出错，请更新
Apollyon 未知	翻译出错，请更新
Apologise 未知	翻译出错，请更新
Archbishop 未知	翻译出错，请更新
Archbishops 未知	翻译出错，请更新
Argument 未知	翻译出错，请更新
Arrangements 未知	翻译出错，请更新
Art 未知	翻译出错，请更新
Ascot 未知	翻译出错，请更新
Ass 未知	翻译出错，请更新
Assignations 未知	翻译出错，请更新
Atlas 未知	翻译出错，请更新
AttorneyGeneralship 未知	翻译出错，请更新
Au 未知	翻译出错，请更新
Audley 未知	翻译出错，请更新
Australia 未知	翻译出错，请更新
Autumnal 未知	翻译出错，请更新
BUNCE 未知	翻译出错，请更新
Babara 未知	翻译出错，请更新
Bad 未知	翻译出错，请更新
Bagnalls 未知	翻译出错，请更新
Baker 未知	翻译出错，请更新
Ballinasloe 未知	翻译出错，请更新
Ballot 未知	翻译出错，请更新
Ballotbox 未知	翻译出错，请更新
Banners 未知	翻译出错，请更新
Bantam 未知	翻译出错，请更新
Barker 未知	翻译出错，请更新
Barney 未知	翻译出错，请更新
Barringtons 未知	翻译出错，请更新
Barset 未知	翻译出错，请更新
Barsetshire 未知	翻译出错，请更新
Bay 未知	翻译出错，请更新
Bean 未知	翻译出错，请更新
Beating 未知	翻译出错，请更新
Beautiful 未知	翻译出错，请更新
Beginning 未知	翻译出错，请更新
Being 未知	翻译出错，请更新
Bests 未知	翻译出错，请更新
Better 未知	翻译出错，请更新
Bible 未知	翻译出错，请更新
Bid 未知	翻译出错，请更新
Bishops 未知	翻译出错，请更新
Bits 未知	翻译出错，请更新
Bloodstone 未知	翻译出错，请更新
Blow 未知	翻译出错，请更新
Bohemians 未知	翻译出错，请更新
Bond 未知	翻译出错，请更新
Bosanquets 未知	翻译出错，请更新
Botany 未知	翻译出错，请更新
Bother 未知	翻译出错，请更新
Bridge 未知	翻译出错，请更新
Bristol 未知	翻译出错，请更新
Briton 未知	翻译出错，请更新
Britons 未知	翻译出错，请更新
Broadbury 未知	翻译出错，请更新
Brodericks 未知	翻译出错，请更新
Bucklersbury 未知	翻译出错，请更新
Bully 未知	翻译出错，请更新
Buncean 未知	翻译出错，请更新
Burn 未知	翻译出错，请更新
Burns 未知	翻译出错，请更新
Business 未知	翻译出错，请更新
Byron 未知	翻译出错，请更新
CANTRIP 未知	翻译出错，请更新
Caesar 未知	翻译出错，请更新
Calling 未知	翻译出错，请更新
Canadian 未知	翻译出错，请更新
Canning 未知	翻译出错，请更新
Cannot 未知	翻译出错，请更新
Canterbury 未知	翻译出错，请更新
CantripFinn 未知	翻译出错，请更新
Cape 未知	翻译出错，请更新
Capitalists 未知	翻译出错，请更新
Ccdq 未知	翻译出错，请更新
Cham 未知	翻译出错，请更新
Chance 未知	翻译出错，请更新
Change 未知	翻译出错，请更新
Changed 未知	翻译出错，请更新
Channel 未知	翻译出错，请更新
Charing 未知	翻译出错，请更新
Chelsea 未知	翻译出错，请更新
Chesterfieldian 未知	翻译出错，请更新
Chickerwick 未知	翻译出错，请更新
China 未知	翻译出错，请更新
Choosing 未知	翻译出错，请更新
Christ 未知	翻译出错，请更新
Cincinnatus 未知	翻译出错，请更新
Circuit 未知	翻译出错，请更新
Circulars 未知	翻译出错，请更新
Clandestine 未知	翻译出错，请更新
Claptrap 未知	翻译出错，请更新
Close 未知	翻译出错，请更新
Closed 未知	翻译出错，请更新
Clubs 未知	翻译出错，请更新
Colcleugh 未知	翻译出错，请更新
Committees 未知	翻译出错，请更新
Common 未知	翻译出错，请更新
Comparing 未知	翻译出错，请更新
Comptroller 未知	翻译出错，请更新
Conclusion 未知	翻译出错，请更新
Connell 未知	翻译出错，请更新
Conservatism 未知	翻译出错，请更新
Consolation 未知	翻译出错，请更新
Convictions 未知	翻译出错，请更新
Conway 未知	翻译出错，请更新
Corn 未知	翻译出错，请更新
Couldnt 未知	翻译出错，请更新
Councils 未知	翻译出错，请更新
Countess 未知	翻译出错，请更新
Coventry 未知	翻译出错，请更新
Croesus 未知	翻译出错，请更新
Cromwell 未知	翻译出错，请更新
Cruel 未知	翻译出错，请更新
DEAREST 未知	翻译出错，请更新
Dash 未知	翻译出错，请更新
Davis 未知	翻译出错，请更新
Dean 未知	翻译出错，请更新
Debate 未知	翻译出错，请更新
Degrade 未知	翻译出错，请更新
Democrat 未知	翻译出错，请更新
Derg 未知	翻译出错，请更新
Devonshire 未知	翻译出错，请更新
Dials 未知	翻译出错，请更新
Doing 未知	翻译出错，请更新
Don 未知	翻译出错，请更新
Doncaster 未知	翻译出错，请更新
Dooty 未知	翻译出错，请更新
Dorchester 未知	翻译出错，请更新
Dorsetshire 未知	翻译出错，请更新
Dou 未知	翻译出错，请更新
Down 未知	翻译出错，请更新
Drat 未知	翻译出错，请更新
Dream 未知	翻译出错，请更新
Duellists 未知	翻译出错，请更新
Dufferty 未知	翻译出错，请更新
Dull 未知	翻译出错，请更新
Dye 未知	翻译出错，请更新
E 未知	翻译出错，请更新
EFFINGHAM 未知	翻译出错，请更新
Eaton 未知	翻译出错，请更新
Edinburgh 未知	翻译出错，请更新
Edwards 未知	翻译出错，请更新
Elysium 未知	翻译出错，请更新
Emigration 未知	翻译出错，请更新
Emily 未知	翻译出错，请更新
Empingham 未知	翻译出错，请更新
End 未知	翻译出错，请更新
Endowments 未知	翻译出错，请更新
Enervating 未知	翻译出错，请更新
Englishman 未知	翻译出错，请更新
Englishmans 未知	翻译出错，请更新
Englishwomen 未知	翻译出错，请更新
Ennistimon 未知	翻译出错，请更新
Envious 未知	翻译出错，请更新
Equality 未知	翻译出错，请更新
Esq 未知	翻译出错，请更新
Essex 未知	翻译出错，请更新
Establishment 未知	翻译出错，请更新
Euston 未知	翻译出错，请更新
Everards 未知	翻译出错，请更新
Evergreens 未知	翻译出错，请更新
Everton 未知	翻译出错，请更新
Eves 未知	翻译出错，请更新
Exceedingly 未知	翻译出错，请更新
Exodus 未知	翻译出错，请更新
Exton 未知	翻译出错，请更新
Eye 未知	翻译出错，请更新
FATHER 未知	翻译出错，请更新
FRIEND 未知	翻译出错，请更新
Failing 未知	翻译出错，请更新
Fair 未知	翻译出错，请更新
Farewell 未知	翻译出错，请更新
Farmers 未知	翻译出错，请更新
Fawns 未知	翻译出错，请更新
Feb 未知	翻译出错，请更新
Fells 未知	翻译出错，请更新
Female 未知	翻译出错，请更新
Fenianism 未知	翻译出错，请更新
Fetter 未知	翻译出错，请更新
Few 未知	翻译出错，请更新
Fifteen 未知	翻译出错，请更新
Fifty 未知	翻译出错，请更新
Finding 未知	翻译出错，请更新
Finny 未知	翻译出错，请更新
Finsbury 未知	翻译出错，请更新
Firm 未知	翻译出错，请更新
Fitz 未知	翻译出错，请更新
FitzHoward 未知	翻译出错，请更新
Fitzwilliam 未知	翻译出错，请更新
Fitzwilliams 未知	翻译出错，请更新
Five 未知	翻译出错，请更新
Floscabel 未知	翻译出错，请更新
Fond 未知	翻译出错，请更新
Fool 未知	翻译出错，请更新
Foolish 未知	翻译出错，请更新
Foolscap 未知	翻译出错，请更新
Force 未知	翻译出错，请更新
Foreseeing 未知	翻译出错，请更新
Forget 未知	翻译出错，请更新
Forgive 未知	翻译出错，请更新
Fought 未知	翻译出错，请更新
Foulsham 未知	翻译出错，请更新
Frail 未知	翻译出错，请更新
Freemantle 未知	翻译出错，请更新
Freemantles 未知	翻译出错，请更新
GLENCORA 未知	翻译出错，请更新
Gallery 未知	翻译出错，请更新
Gardens 未知	翻译出错，请更新
Garrotted 未知	翻译出错，请更新
Gatton 未知	翻译出错，请更新
Generals 未知	翻译出错，请更新
Gentleman 未知	翻译出错，请更新
Gidding 未知	翻译出错，请更新
Gingham 未知	翻译出错，请更新
Giving 未知	翻译出错，请更新
Gold 未知	翻译出错，请更新
Governor 未知	翻译出错，请更新
Granaries 未知	翻译出错，请更新
Greece 未知	翻译出错，请更新
Grogram 未知	翻译出错，请更新
Grouse 未知	翻译出错，请更新
Grove 未知	翻译出错，请更新
Guid 未知	翻译出错，请更新
Gussy 未知	翻译出错，请更新
HONOURED 未知	翻译出错，请更新
Ha 未知	翻译出错，请更新
Hamlets 未知	翻译出错，请更新
Hazledean 未知	翻译出错，请更新
Hear 未知	翻译出错，请更新
Heart 未知	翻译出错，请更新
Hed 未知	翻译出错，请更新
Henry 未知	翻译出错，请更新
Herculean 未知	翻译出错，请更新
Hercules 未知	翻译出错，请更新
Highlanders 未知	翻译出错，请更新
Holborn 未知	翻译出错，请更新
Hold 未知	翻译出错，请更新
Holland 未知	翻译出错，请更新
Holyhead 未知	翻译出错，请更新
Homer 未知	翻译出错，请更新
Honest 未知	翻译出错，请更新
Hong 未知	翻译出错，请更新
Household 未知	翻译出错，请更新
Huntingdonshire 未知	翻译出错，请更新
Hurrah 未知	翻译出错，请更新
III 未知	翻译出错，请更新
Icarus 未知	翻译出错，请更新
Ideas 未知	翻译出错，请更新
Idiot 未知	翻译出错，请更新
Illused 未知	翻译出错，请更新
Imbecility 未知	翻译出错，请更新
Individual 未知	翻译出错，请更新
Infamous 未知	翻译出错，请更新
Inspector 未知	翻译出错，请更新
Ionic 未知	翻译出错，请更新
Irishmans 未知	翻译出错，请更新
Italy 未知	翻译出错，请更新
Itd 未知	翻译出错，请更新
Itll 未知	翻译出错，请更新
JANE 未知	翻译出错，请更新
JONES 未知	翻译出错，请更新
JOSHUA 未知	翻译出错，请更新
Jacks 未知	翻译出错，请更新
Jamaica 未知	翻译出错，请更新
Jases 未知	翻译出错，请更新
Jefferson 未知	翻译出错，请更新
Jericho 未知	翻译出错，请更新
Jewess 未知	翻译出错，请更新
Jews 未知	翻译出错，请更新
Jobs 未知	翻译出错，请更新
Jock 未知	翻译出错，请更新
John 未知	翻译出错，请更新
Joshua 未知	翻译出错，请更新
Journal 未知	翻译出错，请更新
Juan 未知	翻译出错，请更新
Julius 未知	翻译出错，请更新
Kingston 未知	翻译出错，请更新
Kong 未知	翻译出错，请更新
LADY 未知	翻译出错，请更新
LK 未知	翻译出错，请更新
LORD 未知	翻译出错，请更新
LOW 未知	翻译出错，请更新
Ladies 未知	翻译出错，请更新
Lancashire 未知	翻译出错，请更新
Last 未知	翻译出错，请更新
Late 未知	翻译出错，请更新
Lately 未知	翻译出错，请更新
Laurences 未知	翻译出错，请更新
Laws 未知	翻译出错，请更新
Lets 未知	翻译出错，请更新
Lies 未知	翻译出错，请更新
Light 未知	翻译出错，请更新
Lille 未知	翻译出错，请更新
Little 未知	翻译出错，请更新
Liverpool 未知	翻译出错，请更新
Llanwrwsth 未知	翻译出错，请更新
Lody 未知	翻译出错，请更新
Loughlinters 未知	翻译出错，请更新
Loughshanes 未知	翻译出错，请更新
Luckily 未知	翻译出错，请更新
MADAME 未知	翻译出错，请更新
MARY 未知	翻译出错，请更新
MONK 未知	翻译出错，请更新
MT 未知	翻译出错，请更新
MacFies 未知	翻译出错，请更新
MacNabs 未知	翻译出错，请更新
Mackenzie 未知	翻译出错，请更新
Macnab 未知	翻译出错，请更新
Maggiore 未知	翻译出错，请更新
Magnificent 未知	翻译出错，请更新
Maid 未知	翻译出错，请更新
Maker 未知	翻译出错，请更新
Making 未知	翻译出错，请更新
Malachi 未知	翻译出错，请更新
Mansion 未知	翻译出错，请更新
Marchioness 未知	翻译出错，请更新
Margarets 未知	翻译出错，请更新
Marian 未知	翻译出错，请更新
Marry 未知	翻译出错，请更新
Marseilles 未知	翻译出错，请更新
Maryleboners 未知	翻译出错，请更新
Master 未知	翻译出错，请更新
Matrimony 未知	翻译出错，请更新
Mayfair 未知	翻译出错，请更新
Maynooth 未知	翻译出错，请更新
Mayor 未知	翻译出错，请更新
Melton 未知	翻译出错，请更新
Member 未知	翻译出错，请更新
Members 未知	翻译出错，请更新
Mention 未知	翻译出错，请更新
Mere 未知	翻译出错，请更新
Middle 未知	翻译出错，请更新
Middlesex 未知	翻译出错，请更新
Mike 未知	翻译出错，请更新
Ministerial 未知	翻译出错，请更新
Missionaries 未知	翻译出错，请更新
Mister 未知	翻译出错，请更新
Mistress 未知	翻译出错，请更新
Mohuns 未知	翻译出错，请更新
Moles 未知	翻译出错，请更新
Moore 未知	翻译出错，请更新
Moreover 未知	翻译出错，请更新
Morning 未知	翻译出错，请更新
Morriss 未知	翻译出错，请更新
Mothersinlaw 未知	翻译出错，请更新
Mountain 未知	翻译出错，请更新
Mousetrap 未知	翻译出错，请更新
Moydrum 未知	翻译出错，请更新
Muses 未知	翻译出错，请更新
Name 未知	翻译出错，请更新
National 未知	翻译出错，请更新
Near 未知	翻译出错，请更新
Nelson 未知	翻译出错，请更新
News 未知	翻译出错，请更新
Next 未知	翻译出错，请更新
Nineteen 未知	翻译出错，请更新
Noone 未知	翻译出错，请更新
Nova 未知	翻译出错，请更新
Nowhere 未知	翻译出错，请更新
Nows 未知	翻译出错，请更新
OMNIUM 未知	翻译出错，请更新
Oakham 未知	翻译出错，请更新
Oblige 未知	翻译出错，请更新
Often 未知	翻译出错，请更新
Oireland 未知	翻译出错，请更新
Opposition 未知	翻译出错，请更新
Orange 未知	翻译出错，请更新
Orion 未知	翻译出错，请更新
Others 未知	翻译出错，请更新
Otherwise 未知	翻译出错，请更新
Ouses 未知	翻译出错，请更新
Outside 未知	翻译出错，请更新
PF 未知	翻译出错，请更新
PS 未知	翻译出错，请更新
Paladin 未知	翻译出错，请更新
Pandemoniums 未知	翻译出错，请更新
Paraguay 未知	翻译出错，请更新
Pardoe 未知	翻译出错，请更新
Parliaments 未知	翻译出错，请更新
Partly 未知	翻译出错，请更新
Party 未知	翻译出错，请更新
Passing 未知	翻译出错，请更新
Passion 未知	翻译出错，请更新
Patagonia 未知	翻译出错，请更新
Patrick 未知	翻译出错，请更新
Peas 未知	翻译出错，请更新
Peels 未知	翻译出错，请更新
Penates 未知	翻译出错，请更新
Peopled 未知	翻译出错，请更新
Personally 未知	翻译出错，请更新
Persuade 未知	翻译出错，请更新
Perth 未知	翻译出错，请更新
Petersburg 未知	翻译出错，请更新
Piccadilly 未知	翻译出错，请更新
Piddle 未知	翻译出错，请更新
Placed 未知	翻译出错，请更新
Plans 未知	翻译出错，请更新
Plantagenetasked 未知	翻译出错，请更新
Plinlimmons 未知	翻译出错，请更新
Plummer 未知	翻译出错，请更新
Poland 未知	翻译出错，请更新
Poldoodie 未知	翻译出错，请更新
Politically 未知	翻译出错，请更新
Politics 未知	翻译出错，请更新
Pomfret 未知	翻译出错，请更新
Pop 未知	翻译出错，请更新
Portrait 未知	翻译出错，请更新
Post 未知	翻译出错，请更新
Potted 未知	翻译出错，请更新
Pottery 未知	翻译出错，请更新
Power 未知	翻译出错，请更新
Ppc 未知	翻译出错，请更新
Pressed 未知	翻译出错，请更新
Prince 未知	翻译出错，请更新
Princess 未知	翻译出错，请更新
Priory 未知	翻译出错，请更新
Private 未知	翻译出错，请更新
Progressive 未知	翻译出错，请更新
Promotion 未知	翻译出错，请更新
Protestants 未知	翻译出错，请更新
Provoked 未知	翻译出错，请更新
Put 未知	翻译出错，请更新
Pyrenees 未知	翻译出错，请更新
QC 未知	翻译出错，请更新
QS 未知	翻译出错，请更新
Quick 未知	翻译出错，请更新
Quixotic 未知	翻译出错，请更新
ROBERT 未知	翻译出错，请更新
Radicalism 未知	翻译出错，请更新
Railroad 未知	翻译出错，请更新
Rara 未知	翻译出错，请更新
Ratlerite 未知	翻译出错，请更新
Reformer 未知	翻译出错，请更新
Reformers 未知	翻译出错，请更新
Refuse 未知	翻译出错，请更新
Repeal 未知	翻译出错，请更新
Repose 未知	翻译出错，请更新
Republican 未知	翻译出错，请更新
Respectable 未知	翻译出错，请更新
Returning 未知	翻译出错，请更新
Rhine 未知	翻译出错，请更新
Ribandmen 未知	翻译出错，请更新
Richards 未知	翻译出错，请更新
Riding 未知	翻译出错，请更新
Riga 未知	翻译出错，请更新
Rights 未知	翻译出错，请更新
River 未知	翻译出错，请更新
Robys 未知	翻译出错，请更新
Rochester 未知	翻译出错，请更新
Rolls 未知	翻译出错，请更新
Rotunda 未知	翻译出错，请更新
Rumour 未知	翻译出错，请更新
Rusty 未知	翻译出错，请更新
SIR 未知	翻译出错，请更新
STANDISH 未知	翻译出错，请更新
Samson 未知	翻译出错，请更新
Sarsnet 未知	翻译出错，请更新
Sarum 未知	翻译出错，请更新
Saulsbys 未知	翻译出错，请更新
Scores 未知	翻译出错，请更新
Scotia 未知	翻译出错，请更新
Scott 未知	翻译出错，请更新
Scrubi 未知	翻译出错，请更新
Seen 未知	翻译出错，请更新
Serve 未知	翻译出错，请更新
Set 未知	翻译出错，请更新
Shakespeare 未知	翻译出错，请更新
Shell 未知	翻译出错，请更新
Shes 未知	翻译出错，请更新
Shoot 未知	翻译出错，请更新
Shop 未知	翻译出错，请更新
Shortly 未知	翻译出错，请更新
Shouldnt 未知	翻译出错，请更新
Signor 未知	翻译出错，请更新
Simeon 未知	翻译出错，请更新
Singular 未知	翻译出错，请更新
Sitting 未知	翻译出错，请更新
Sixmiletown 未知	翻译出错，请更新
Slowly 未知	翻译出错，请更新
Smith 未知	翻译出错，请更新
Socially 未知	翻译出错，请更新
Society 未知	翻译出错，请更新
Solicitor 未知	翻译出错，请更新
Sooner 未知	翻译出错，请更新
Sovereign 未知	翻译出错，请更新
Sporting 未知	翻译出错，请更新
Staleybridge 未知	翻译出错，请更新
Stars 未知	翻译出错，请更新
Stay 未知	翻译出错，请更新
Staying 未知	翻译出错，请更新
Stick 未知	翻译出错，请更新
Stilton 未知	翻译出错，请更新
Stirling 未知	翻译出错，请更新
Stirlings 未知	翻译出错，请更新
Stratford 未知	翻译出错，请更新
Stupid 未知	翻译出错，请更新
Submission 未知	翻译出错，请更新
Success 未知	翻译出错，请更新
Successful 未知	翻译出错，请更新
Suffering 未知	翻译出错，请更新
Sufficient 未知	翻译出错，请更新
Suffolk 未知	翻译出错，请更新
Supposing 未知	翻译出错，请更新
Sutton 未知	翻译出错，请更新
Sympathy 未知	翻译出错，请更新
Ta 未知	翻译出错，请更新
Tailby 未知	翻译出错，请更新
Tailbys 未知	翻译出错，请更新
Taking 未知	翻译出错，请更新
Tantalus 未知	翻译出错，请更新
Teddington 未知	翻译出错，请更新
Temper 未知	翻译出错，请更新
Temple 未知	翻译出错，请更新
Temptress 未知	翻译出错，请更新
TenantRight 未知	翻译出错，请更新
Tenantright 未知	翻译出错，请更新
Tennyson 未知	翻译出错，请更新
Terrace 未知	翻译出错，请更新
Thankye 未知	翻译出错，请更新
Theyd 未知	翻译出错，请更新
Thinking 未知	翻译出错，请更新
Thou 未知	翻译出错，请更新
Thrice 未知	翻译出错，请更新
Throughout 未知	翻译出错，请更新
Thursdays 未知	翻译出错，请更新
Today 未知	翻译出错，请更新
Together 未知	翻译出错，请更新
Tom 未知	翻译出错，请更新
Travellers 未知	翻译出错，请更新
Treated 未知	翻译出错，请更新
Trip 未知	翻译出错，请更新
Troubled 未知	翻译出错，请更新
True 未知	翻译出错，请更新
Turkey 未知	翻译出错，请更新
Turn 未知	翻译出错，请更新
UnderSecretaries 未知	翻译出错，请更新
UnderSecretarys 未知	翻译出错，请更新
UnderSecretaryships 未知	翻译出错，请更新
Undue 未知	翻译出错，请更新
Unfortunate 未知	翻译出错，请更新
University 未知	翻译出错，请更新
Unless 未知	翻译出错，请更新
Unmarried 未知	翻译出错，请更新
VIOLET 未知	翻译出错，请更新
Vi 未知	翻译出错，请更新
ViceChancellor 未知	翻译出错，请更新
ViceComptroller 未知	翻译出错，请更新
VicePresidents 未知	翻译出错，请更新
Victrix 未知	翻译出错，请更新
Viennese 未知	翻译出错，请更新
Vile 未知	翻译出错，请更新
W 未知	翻译出错，请更新
Wait 未知	翻译出错，请更新
Walker 未知	翻译出错，请更新
Walpole 未知	翻译出错，请更新
Washington 未知	翻译出错，请更新
Wasnt 未知	翻译出错，请更新
Weazeling 未知	翻译出错，请更新
Week 未知	翻译出错，请更新
Westmoreland 未知	翻译出错，请更新
Whatshisname 未知	翻译出错，请更新
Whence 未知	翻译出错，请更新
Whereas 未知	翻译出错，请更新
Wherever 未知	翻译出错，请更新
Whither 未知	翻译出错，请更新
Whitsuntide 未知	翻译出错，请更新
Whoever 未知	翻译出错，请更新
Wilcox 未知	翻译出错，请更新
William 未知	翻译出错，请更新
Wiltshire 未知	翻译出错，请更新
Wissindine 未知	翻译出错，请更新
Withdraw 未知	翻译出错，请更新
Womens 未知	翻译出错，请更新
Woods 未知	翻译出错，请更新
Words 未知	翻译出错，请更新
Workmen 未知	翻译出错，请更新
Years 未知	翻译出错，请更新
Yesterday 未知	翻译出错，请更新
Yet 未知	翻译出错，请更新
Youd 未知	翻译出错，请更新
Youth 未知	翻译出错，请更新
Zoological 未知	翻译出错，请更新
abandoning 未知	翻译出错，请更新
abdicated 未知	翻译出错，请更新
abdication 未知	翻译出错，请更新
abduction 未知	翻译出错，请更新
abeyance 未知	翻译出错，请更新
abject 未知	翻译出错，请更新
abler 未知	翻译出错，请更新
abnegation 未知	翻译出错，请更新
abode 未知	翻译出错，请更新
abodes 未知	翻译出错，请更新
abominate 未知	翻译出错，请更新
abomination 未知	翻译出错，请更新
abominations 未知	翻译出错，请更新
aboon 未知	翻译出错，请更新
abortive 未知	翻译出错，请更新
absented 未知	翻译出错，请更新
absorbed 未知	翻译出错，请更新
absorbing 未知	翻译出错，请更新
abstaining 未知	翻译出错，请更新
abstains 未知	翻译出错，请更新
abstinence 未知	翻译出错，请更新
absurdly 未知	翻译出错，请更新
abundant 未知	翻译出错，请更新
abusing 未知	翻译出错，请更新
acceded 未知	翻译出错，请更新
accent 未知	翻译出错，请更新
access 未知	翻译出错，请更新
acclamation 未知	翻译出错，请更新
accommodated 未知	翻译出错，请更新
accommodation 未知	翻译出错，请更新
accompanied 未知	翻译出错，请更新
accompanying 未知	翻译出错，请更新
accomplishments 未知	翻译出错，请更新
accusations 未知	翻译出错，请更新
acerbate 未知	翻译出错，请更新
achievements 未知	翻译出错，请更新
acknowledges 未知	翻译出错，请更新
acknowledgment 未知	翻译出错，请更新
acquaintances 未知	翻译出错，请更新
acquire 未知	翻译出错，请更新
acquirement 未知	翻译出错，请更新
actions 未知	翻译出错，请更新
adaptation 未知	翻译出错，请更新
adapts 未知	翻译出错，请更新
addresses 未知	翻译出错，请更新
adduce 未知	翻译出错，请更新
adequately 未知	翻译出错，请更新
adherent 未知	翻译出错，请更新
adjoining 未知	翻译出错，请更新
adjunct 未知	翻译出错，请更新
adjustment 未知	翻译出错，请更新
admirably 未知	翻译出错，请更新
admirers 未知	翻译出错，请更新
admires 未知	翻译出错，请更新
admonitions 未知	翻译出错，请更新
adroitness 未知	翻译出错，请更新
adulated 未知	翻译出错，请更新
advancement 未知	翻译出错，请更新
advances 未知	翻译出错，请更新
advancing 未知	翻译出错，请更新
advantageous 未知	翻译出错，请更新
adventurous 未知	翻译出错，请更新
advertised 未知	翻译出错，请更新
advises 未知	翻译出错，请更新
advocates 未知	翻译出错，请更新
advocating 未知	翻译出错，请更新
aegis 未知	翻译出错，请更新
afeard 未知	翻译出错，请更新
affecting 未知	翻译出错，请更新
affects 未知	翻译出错，请更新
affirmation 未知	翻译出错，请更新
affixed 未知	翻译出错，请更新
affliction 未知	翻译出错，请更新
affords 未知	翻译出错，请更新
affray 未知	翻译出错，请更新
aggravating 未知	翻译出错，请更新
aggrieved 未知	翻译出错，请更新
agoverning 未知	翻译出错，请更新
agreeing 未知	翻译出错，请更新
agriculture 未知	翻译出错，请更新
ah 未知	翻译出错，请更新
ahurrying 未知	翻译出错，请更新
aided 未知	翻译出错，请更新
ailments 未知	翻译出错，请更新
airy 未知	翻译出错，请更新
akin 未知	翻译出错，请更新
alacrity 未知	翻译出错，请更新
alarm 未知	翻译出错，请更新
allegation 未知	翻译出错，请更新
alleged 未知	翻译出错，请更新
alley 未知	翻译出错，请更新
alleys 未知	翻译出错，请更新
allied 未知	翻译出错，请更新
allimportant 未知	翻译出错，请更新
allocated 未知	翻译出错，请更新
allotted 未知	翻译出错，请更新
alloy 未知	翻译出错，请更新
allpowerful 未知	翻译出错，请更新
allpowerless 未知	翻译出错，请更新
allude 未知	翻译出错，请更新
alluding 未知	翻译出错，请更新
allure 未知	翻译出错，请更新
allurement 未知	翻译出错，请更新
alpha 未知	翻译出错，请更新
altering 未知	翻译出错，请更新
alternately 未知	翻译出错，请更新
altitude 未知	翻译出错，请更新
amazed 未知	翻译出错，请更新
amiable 未知	翻译出错，请更新
amok 未知	翻译出错，请更新
amounted 未知	翻译出错，请更新
amounts 未知	翻译出错，请更新
amphitheatre 未知	翻译出错，请更新
amused 未知	翻译出错，请更新
analyse 未知	翻译出错，请更新
anathematised 未知	翻译出错，请更新
ands 未知	翻译出错，请更新
anew 未知	翻译出错，请更新
angelic 未知	翻译出错，请更新
angels 未知	翻译出错，请更新
angered 未知	翻译出错，请更新
angs 未知	翻译出错，请更新
anguish 未知	翻译出错，请更新
animals 未知	翻译出错，请更新
animated 未知	翻译出错，请更新
announce 未知	翻译出错，请更新
annoys 未知	翻译出错，请更新
annually 未知	翻译出错，请更新
antagonistic 未知	翻译出错，请更新
anticipate 未知	翻译出错，请更新
anticipating 未知	翻译出错，请更新
antidote 未知	翻译出错，请更新
antipathetic 未知	翻译出错，请更新
antiquated 未知	翻译出错，请更新
anxiously 未知	翻译出错，请更新
anyhow 未知	翻译出错，请更新
anyways 未知	翻译出错，请更新
apartments 未知	翻译出错，请更新
apologetic 未知	翻译出错，请更新
apologised 未知	翻译出错，请更新
apparition 未知	翻译出错，请更新
appeals 未知	翻译出错，请更新
appearances 未知	翻译出错，请更新
applauded 未知	翻译出错，请更新
